   Elapsed time	   MLII	     V5
       0:15.600	 -0.390	 -0.365
       0:15.603	 -0.425	 -0.380
       0:15.606	 -0.455	 -0.415
       0:15.608	 -0.475	 -0.450
       0:15.611	 -0.500	 -0.420
       0:15.614	 -0.540	 -0.345
       0:15.617	 -0.570	 -0.245
       0:15.619	 -0.510	 -0.160
       0:15.622	 -0.415	 -0.090
       0:15.625	 -0.335	 -0.060
       0:15.628	 -0.260	 -0.005
       0:15.631	 -0.150	  0.050
       0:15.633	 -0.005	  0.165
       0:15.636	  0.205	  0.265
       0:15.639	  0.470	  0.380
       0:15.642	  0.680	  0.460
       0:15.644	  0.825	  0.495
       0:15.647	  0.925	  0.485
       0:15.650	  0.970	  0.335
       0:15.653	  0.885	  0.045
       0:15.656	  0.690	 -0.245
       0:15.658	  0.415	 -0.430
       0:15.661	  0.105	 -0.480
       0:15.664	 -0.150	 -0.430
       0:15.667	 -0.345	 -0.400
       0:15.669	 -0.435	 -0.380
       0:15.672	 -0.465	 -0.365
       0:15.675	 -0.455	 -0.355
       0:15.678	 -0.425	 -0.365
       0:15.681	 -0.415	 -0.345
       0:15.683	 -0.395	 -0.345
       0:15.686	 -0.375	 -0.340
       0:15.689	 -0.370	 -0.345
       0:15.692	 -0.395	 -0.365
       0:15.694	 -0.400	 -0.360
       0:15.697	 -0.400	 -0.360
       0:15.700	 -0.410	 -0.340
       0:15.703	 -0.400	 -0.350
       0:15.706	 -0.405	 -0.345
       0:15.708	 -0.400	 -0.365
       0:15.711	 -0.405	 -0.360
       0:15.714	 -0.395	 -0.360
       0:15.717	 -0.390	 -0.345
       0:15.719	 -0.380	 -0.345
       0:15.722	 -0.385	 -0.360
       0:15.725	 -0.405	 -0.360
       0:15.728	 -0.420	 -0.370
       0:15.731	 -0.405	 -0.355
       0:15.733	 -0.400	 -0.345
       0:15.736	 -0.390	 -0.345
       0:15.739	 -0.380	 -0.355
       0:15.742	 -0.395	 -0.360
       0:15.744	 -0.395	 -0.360
       0:15.747	 -0.400	 -0.355
       0:15.750	 -0.390	 -0.350
       0:15.753	 -0.410	 -0.340
       0:15.756	 -0.405	 -0.345
       0:15.758	 -0.410	 -0.360
       0:15.761	 -0.410	 -0.345
       0:15.764	 -0.395	 -0.355
       0:15.767	 -0.385	 -0.335
       0:15.769	 -0.395	 -0.350
       0:15.772	 -0.405	 -0.365
       0:15.775	 -0.420	 -0.360
       0:15.778	 -0.435	 -0.370
       0:15.781	 -0.415	 -0.360
       0:15.783	 -0.405	 -0.345
       0:15.786	 -0.410	 -0.340
       0:15.789	 -0.400	 -0.355
       0:15.792	 -0.410	 -0.375
       0:15.794	 -0.415	 -0.380
       0:15.797	 -0.410	 -0.365
       0:15.800	 -0.400	 -0.360
       0:15.803	 -0.405	 -0.355
       0:15.806	 -0.390	 -0.355
       0:15.808	 -0.390	 -0.350
       0:15.811	 -0.400	 -0.365
       0:15.814	 -0.390	 -0.355
       0:15.817	 -0.390	 -0.360
       0:15.819	 -0.390	 -0.365
       0:15.822	 -0.395	 -0.385
       0:15.825	 -0.420	 -0.390
       0:15.828	 -0.420	 -0.380
       0:15.831	 -0.415	 -0.370
       0:15.833	 -0.410	 -0.365
       0:15.836	 -0.395	 -0.385
       0:15.839	 -0.395	 -0.385
       0:15.842	 -0.400	 -0.420
       0:15.844	 -0.415	 -0.405
       0:15.847	 -0.415	 -0.390
       0:15.850	 -0.400	 -0.390
       0:15.853	 -0.400	 -0.385
       0:15.856	 -0.385	 -0.395
       0:15.858	 -0.390	 -0.405
       0:15.861	 -0.410	 -0.400
       0:15.864	 -0.395	 -0.395
       0:15.867	 -0.390	 -0.395
       0:15.869	 -0.380	 -0.405
       0:15.872	 -0.375	 -0.425
       0:15.875	 -0.390	 -0.440
       0:15.878	 -0.405	 -0.455
       0:15.881	 -0.420	 -0.455
       0:15.883	 -0.415	 -0.445
       0:15.886	 -0.415	 -0.465
       0:15.889	 -0.415	 -0.465
       0:15.892	 -0.435	 -0.480
       0:15.894	 -0.465	 -0.485
       0:15.897	 -0.455	 -0.485
       0:15.900	 -0.465	 -0.485
       0:15.903	 -0.460	 -0.490
       0:15.906	 -0.445	 -0.500
       0:15.908	 -0.455	 -0.510
       0:15.911	 -0.465	 -0.525
       0:15.914	 -0.475	 -0.510
       0:15.917	 -0.455	 -0.495
       0:15.919	 -0.460	 -0.500
       0:15.922	 -0.450	 -0.515
       0:15.925	 -0.455	 -0.510
       0:15.928	 -0.470	 -0.490
       0:15.931	 -0.455	 -0.475
       0:15.933	 -0.440	 -0.450
       0:15.936	 -0.420	 -0.450
       0:15.939	 -0.415	 -0.450
       0:15.942	 -0.420	 -0.440
       0:15.944	 -0.410	 -0.430
       0:15.947	 -0.410	 -0.405
       0:15.950	 -0.370	 -0.390
       0:15.953	 -0.360	 -0.390
       0:15.956	 -0.350	 -0.380
       0:15.958	 -0.350	 -0.380
       0:15.961	 -0.345	 -0.370
       0:15.964	 -0.335	 -0.355
       0:15.967	 -0.320	 -0.340
       0:15.969	 -0.300	 -0.340
       0:15.972	 -0.320	 -0.330
       0:15.975	 -0.315	 -0.340
       0:15.978	 -0.340	 -0.330
       0:15.981	 -0.325	 -0.325
       0:15.983	 -0.300	 -0.320
       0:15.986	 -0.300	 -0.320
       0:15.989	 -0.300	 -0.320
       0:15.992	 -0.310	 -0.325
       0:15.994	 -0.330	 -0.335
       0:15.997	 -0.310	 -0.315
       0:16.000	 -0.305	 -0.315
       0:16.003	 -0.300	 -0.305
       0:16.006	 -0.305	 -0.325
       0:16.008	 -0.315	 -0.340
       0:16.011	 -0.330	 -0.345
       0:16.014	 -0.310	 -0.325
       0:16.017	 -0.305	 -0.320
       0:16.019	 -0.310	 -0.320
       0:16.022	 -0.305	 -0.325
       0:16.025	 -0.310	 -0.340
       0:16.028	 -0.310	 -0.345
       0:16.031	 -0.310	 -0.330
       0:16.033	 -0.300	 -0.310
       0:16.036	 -0.305	 -0.315
       0:16.039	 -0.310	 -0.320
       0:16.042	 -0.310	 -0.345
       0:16.044	 -0.320	 -0.345
       0:16.047	 -0.315	 -0.325
       0:16.050	 -0.330	 -0.340
       0:16.053	 -0.315	 -0.335
       0:16.056	 -0.320	 -0.345
       0:16.058	 -0.340	 -0.340
       0:16.061	 -0.340	 -0.350
       0:16.064	 -0.335	 -0.345
       0:16.067	 -0.330	 -0.335
       0:16.069	 -0.320	 -0.345
       0:16.072	 -0.320	 -0.345
       0:16.075	 -0.325	 -0.355
       0:16.078	 -0.350	 -0.355
       0:16.081	 -0.340	 -0.345
       0:16.083	 -0.335	 -0.335
       0:16.086	 -0.335	 -0.345
       0:16.089	 -0.345	 -0.345
       0:16.092	 -0.350	 -0.355
       0:16.094	 -0.360	 -0.350
       0:16.097	 -0.360	 -0.355
       0:16.100	 -0.345	 -0.340
       0:16.103	 -0.335	 -0.355
       0:16.106	 -0.335	 -0.360
       0:16.108	 -0.335	 -0.355
       0:16.111	 -0.345	 -0.340
       0:16.114	 -0.335	 -0.345
       0:16.117	 -0.335	 -0.345
       0:16.119	 -0.330	 -0.345
       0:16.122	 -0.335	 -0.355
       0:16.125	 -0.335	 -0.340
       0:16.128	 -0.350	 -0.370
       0:16.131	 -0.345	 -0.370
       0:16.133	 -0.355	 -0.350
       0:16.136	 -0.345	 -0.350
       0:16.139	 -0.345	 -0.350
       0:16.142	 -0.355	 -0.360
       0:16.144	 -0.365	 -0.370
       0:16.147	 -0.360	 -0.370
       0:16.150	 -0.355	 -0.360
       0:16.153	 -0.345	 -0.360
       0:16.156	 -0.345	 -0.355
       0:16.158	 -0.345	 -0.360
       0:16.161	 -0.360	 -0.360
       0:16.164	 -0.345	 -0.350
       0:16.167	 -0.340	 -0.345
       0:16.169	 -0.335	 -0.350
       0:16.172	 -0.340	 -0.355
       0:16.175	 -0.345	 -0.365
       0:16.178	 -0.370	 -0.360
       0:16.181	 -0.370	 -0.350
       0:16.183	 -0.360	 -0.330
       0:16.186	 -0.340	 -0.335
       0:16.189	 -0.350	 -0.340
       0:16.192	 -0.365	 -0.350
       0:16.194	 -0.355	 -0.360
       0:16.197	 -0.350	 -0.340
       0:16.200	 -0.340	 -0.340
       0:16.203	 -0.340	 -0.335
       0:16.206	 -0.355	 -0.340
       0:16.208	 -0.355	 -0.350
       0:16.211	 -0.350	 -0.350
       0:16.214	 -0.350	 -0.340
       0:16.217	 -0.335	 -0.330
       0:16.219	 -0.340	 -0.330
       0:16.222	 -0.340	 -0.340
       0:16.225	 -0.330	 -0.345
       0:16.228	 -0.350	 -0.345
       0:16.231	 -0.315	 -0.345
       0:16.233	 -0.300	 -0.335
       0:16.236	 -0.290	 -0.320
       0:16.239	 -0.275	 -0.335
       0:16.242	 -0.280	 -0.340
       0:16.244	 -0.285	 -0.345
       0:16.247	 -0.275	 -0.325
       0:16.250	 -0.270	 -0.300
       0:16.253	 -0.255	 -0.315
       0:16.256	 -0.240	 -0.315
       0:16.258	 -0.250	 -0.305
       0:16.261	 -0.255	 -0.300
       0:16.264	 -0.240	 -0.280
       0:16.267	 -0.225	 -0.270
       0:16.269	 -0.225	 -0.290
       0:16.272	 -0.240	 -0.290
       0:16.275	 -0.255	 -0.295
       0:16.278	 -0.260	 -0.290
       0:16.281	 -0.275	 -0.275
       0:16.283	 -0.260	 -0.255
       0:16.286	 -0.245	 -0.265
       0:16.289	 -0.255	 -0.275
       0:16.292	 -0.265	 -0.280
       0:16.294	 -0.280	 -0.285
       0:16.297	 -0.270	 -0.280
       0:16.300	 -0.250	 -0.270
       0:16.303	 -0.235	 -0.285
       0:16.306	 -0.230	 -0.305
       0:16.308	 -0.245	 -0.305
       0:16.311	 -0.270	 -0.305
       0:16.314	 -0.280	 -0.295
       0:16.317	 -0.280	 -0.295
       0:16.319	 -0.290	 -0.295
       0:16.322	 -0.315	 -0.315
       0:16.325	 -0.335	 -0.325
       0:16.328	 -0.355	 -0.325
       0:16.331	 -0.355	 -0.310
       0:16.333	 -0.355	 -0.305
       0:16.336	 -0.360	 -0.300
       0:16.339	 -0.360	 -0.310
       0:16.342	 -0.375	 -0.325
       0:16.344	 -0.380	 -0.325
       0:16.347	 -0.360	 -0.325
       0:16.350	 -0.355	 -0.305
       0:16.353	 -0.350	 -0.305
       0:16.356	 -0.345	 -0.325
       0:16.358	 -0.370	 -0.320
       0:16.361	 -0.370	 -0.325
       0:16.364	 -0.355	 -0.310
       0:16.367	 -0.355	 -0.310
       0:16.369	 -0.350	 -0.315
       0:16.372	 -0.345	 -0.320
       0:16.375	 -0.355	 -0.325
       0:16.378	 -0.355	 -0.320
       0:16.381	 -0.360	 -0.315
       0:16.383	 -0.355	 -0.305
       0:16.386	 -0.355	 -0.300
       0:16.389	 -0.355	 -0.325
       0:16.392	 -0.360	 -0.335
       0:16.394	 -0.375	 -0.350
       0:16.397	 -0.370	 -0.355
       0:16.400	 -0.390	 -0.380
       0:16.403	 -0.425	 -0.415
       0:16.406	 -0.465	 -0.430
       0:16.408	 -0.490	 -0.455
       0:16.411	 -0.525	 -0.410
       0:16.414	 -0.560	 -0.305
       0:16.417	 -0.560	 -0.160
       0:16.419	 -0.495	 -0.045
       0:16.422	 -0.360	  0.035
       0:16.425	 -0.220	  0.120
       0:16.428	 -0.045	  0.245
       0:16.431	  0.190	  0.385
       0:16.433	  0.475	  0.495
       0:16.436	  0.725	  0.475
       0:16.439	  0.895	  0.295
       0:16.442	  0.895	 -0.040
       0:16.444	  0.710	 -0.350
       0:16.447	  0.350	 -0.440
       0:16.450	 -0.055	 -0.415
       0:16.453	 -0.350	 -0.380
       0:16.456	 -0.480	 -0.360
       0:16.458	 -0.490	 -0.365
       0:16.461	 -0.465	 -0.355
       0:16.464	 -0.415	 -0.340
       0:16.467	 -0.405	 -0.340
       0:16.469	 -0.395	 -0.335
       0:16.472	 -0.405	 -0.350
       0:16.475	 -0.420	 -0.370
       0:16.478	 -0.395	 -0.360
       0:16.481	 -0.415	 -0.355
       0:16.483	 -0.400	 -0.355
       0:16.486	 -0.390	 -0.350
       0:16.489	 -0.385	 -0.350
       0:16.492	 -0.395	 -0.355
       0:16.494	 -0.405	 -0.350
       0:16.497	 -0.395	 -0.350
       0:16.500	 -0.400	 -0.340
       0:16.503	 -0.390	 -0.345
       0:16.506	 -0.390	 -0.345
       0:16.508	 -0.400	 -0.350
       0:16.511	 -0.415	 -0.345
       0:16.514	 -0.405	 -0.335
       0:16.517	 -0.390	 -0.335
       0:16.519	 -0.380	 -0.330
       0:16.522	 -0.380	 -0.345
       0:16.525	 -0.405	 -0.345
       0:16.528	 -0.390	 -0.340
       0:16.531	 -0.400	 -0.335
       0:16.533	 -0.390	 -0.320
       0:16.536	 -0.380	 -0.335
       0:16.539	 -0.380	 -0.330
       0:16.542	 -0.405	 -0.340
       0:16.544	 -0.400	 -0.340
       0:16.547	 -0.410	 -0.335
       0:16.550	 -0.400	 -0.325
       0:16.553	 -0.395	 -0.325
       0:16.556	 -0.400	 -0.340
       0:16.558	 -0.400	 -0.345
       0:16.561	 -0.405	 -0.345
       0:16.564	 -0.390	 -0.320
       0:16.567	 -0.380	 -0.320
       0:16.569	 -0.385	 -0.330
       0:16.572	 -0.385	 -0.345
       0:16.575	 -0.390	 -0.335
       0:16.578	 -0.405	 -0.340
       0:16.581	 -0.400	 -0.330
       0:16.583	 -0.400	 -0.325
       0:16.586	 -0.390	 -0.330
       0:16.589	 -0.390	 -0.340
       0:16.592	 -0.410	 -0.345
       0:16.594	 -0.410	 -0.350
       0:16.597	 -0.405	 -0.335
       0:16.600	 -0.400	 -0.325
       0:16.603	 -0.410	 -0.340
       0:16.606	 -0.405	 -0.335
       0:16.608	 -0.410	 -0.355
       0:16.611	 -0.415	 -0.360
       0:16.614	 -0.410	 -0.355
       0:16.617	 -0.405	 -0.350
       0:16.619	 -0.395	 -0.345
       0:16.622	 -0.405	 -0.355
       0:16.625	 -0.400	 -0.375
       0:16.628	 -0.400	 -0.365
       0:16.631	 -0.395	 -0.375
       0:16.633	 -0.405	 -0.375
       0:16.636	 -0.380	 -0.365
       0:16.639	 -0.385	 -0.375
       0:16.642	 -0.390	 -0.385
       0:16.644	 -0.410	 -0.390
       0:16.647	 -0.395	 -0.380
       0:16.650	 -0.390	 -0.370
       0:16.653	 -0.380	 -0.380
       0:16.656	 -0.385	 -0.390
       0:16.658	 -0.405	 -0.405
       0:16.661	 -0.405	 -0.425
       0:16.664	 -0.405	 -0.420
       0:16.667	 -0.400	 -0.425
       0:16.669	 -0.410	 -0.425
       0:16.672	 -0.410	 -0.435
       0:16.675	 -0.415	 -0.445
       0:16.678	 -0.435	 -0.450
       0:16.681	 -0.430	 -0.460
       0:16.683	 -0.415	 -0.455
       0:16.686	 -0.420	 -0.470
       0:16.689	 -0.420	 -0.475
       0:16.692	 -0.440	 -0.490
       0:16.694	 -0.440	 -0.490
       0:16.697	 -0.435	 -0.475
       0:16.700	 -0.435	 -0.465
       0:16.703	 -0.435	 -0.470
       0:16.706	 -0.430	 -0.480
       0:16.708	 -0.445	 -0.485
       0:16.711	 -0.445	 -0.470
       0:16.714	 -0.420	 -0.465
       0:16.717	 -0.425	 -0.430
       0:16.719	 -0.410	 -0.430
       0:16.722	 -0.405	 -0.420
       0:16.725	 -0.400	 -0.420
       0:16.728	 -0.410	 -0.390
       0:16.731	 -0.380	 -0.375
       0:16.733	 -0.370	 -0.365
       0:16.736	 -0.350	 -0.350
       0:16.739	 -0.340	 -0.340
       0:16.742	 -0.355	 -0.325
       0:16.744	 -0.345	 -0.325
       0:16.747	 -0.340	 -0.310
       0:16.750	 -0.315	 -0.290
       0:16.753	 -0.320	 -0.285
       0:16.756	 -0.300	 -0.290
       0:16.758	 -0.300	 -0.290
       0:16.761	 -0.315	 -0.285
       0:16.764	 -0.305	 -0.270
       0:16.767	 -0.300	 -0.245
       0:16.769	 -0.280	 -0.265
       0:16.772	 -0.290	 -0.265
       0:16.775	 -0.290	 -0.280
       0:16.778	 -0.300	 -0.290
       0:16.781	 -0.295	 -0.270
       0:16.783	 -0.295	 -0.255
       0:16.786	 -0.280	 -0.270
       0:16.789	 -0.285	 -0.265
       0:16.792	 -0.290	 -0.275
       0:16.794	 -0.295	 -0.280
       0:16.797	 -0.285	 -0.275
       0:16.800	 -0.280	 -0.265
       0:16.803	 -0.275	 -0.270
       0:16.806	 -0.265	 -0.280
       0:16.808	 -0.280	 -0.280
       0:16.811	 -0.295	 -0.285
       0:16.814	 -0.280	 -0.275
       0:16.817	 -0.280	 -0.265
       0:16.819	 -0.275	 -0.270
       0:16.822	 -0.290	 -0.270
       0:16.825	 -0.295	 -0.285
       0:16.828	 -0.310	 -0.290
       0:16.831	 -0.290	 -0.270
       0:16.833	 -0.290	 -0.260
       0:16.836	 -0.275	 -0.265
       0:16.839	 -0.270	 -0.280
       0:16.842	 -0.295	 -0.285
       0:16.844	 -0.315	 -0.280
       0:16.847	 -0.310	 -0.280
       0:16.850	 -0.300	 -0.270
       0:16.853	 -0.295	 -0.280
       0:16.856	 -0.290	 -0.280
       0:16.858	 -0.300	 -0.285
       0:16.861	 -0.315	 -0.290
       0:16.864	 -0.305	 -0.280
       0:16.867	 -0.300	 -0.275
       0:16.869	 -0.290	 -0.290
       0:16.872	 -0.310	 -0.295
       0:16.875	 -0.315	 -0.305
       0:16.878	 -0.330	 -0.295
       0:16.881	 -0.310	 -0.285
       0:16.883	 -0.305	 -0.280
       0:16.886	 -0.295	 -0.290
       0:16.889	 -0.295	 -0.300
       0:16.892	 -0.305	 -0.310
       0:16.894	 -0.325	 -0.310
       0:16.897	 -0.315	 -0.305
       0:16.900	 -0.315	 -0.285
       0:16.903	 -0.310	 -0.290
       0:16.906	 -0.300	 -0.295
       0:16.908	 -0.315	 -0.305
       0:16.911	 -0.335	 -0.305
       0:16.914	 -0.325	 -0.300
       0:16.917	 -0.325	 -0.295
       0:16.919	 -0.315	 -0.300
       0:16.922	 -0.310	 -0.290
       0:16.925	 -0.320	 -0.305
       0:16.928	 -0.335	 -0.300
       0:16.931	 -0.325	 -0.285
       0:16.933	 -0.310	 -0.270
       0:16.936	 -0.305	 -0.275
       0:16.939	 -0.305	 -0.290
       0:16.942	 -0.320	 -0.295
       0:16.944	 -0.325	 -0.300
       0:16.947	 -0.315	 -0.295
       0:16.950	 -0.310	 -0.285
       0:16.953	 -0.300	 -0.285
       0:16.956	 -0.315	 -0.285
       0:16.958	 -0.325	 -0.290
       0:16.961	 -0.320	 -0.285
       0:16.964	 -0.320	 -0.280
       0:16.967	 -0.320	 -0.270
       0:16.969	 -0.310	 -0.290
       0:16.972	 -0.310	 -0.290
       0:16.975	 -0.310	 -0.295
       0:16.978	 -0.315	 -0.280
       0:16.981	 -0.305	 -0.285
       0:16.983	 -0.285	 -0.270
       0:16.986	 -0.295	 -0.275
       0:16.989	 -0.305	 -0.285
       0:16.992	 -0.310	 -0.290
       0:16.994	 -0.315	 -0.285
       0:16.997	 -0.300	 -0.280
       0:17.000	 -0.315	 -0.255
       0:17.003	 -0.305	 -0.265
       0:17.006	 -0.305	 -0.265
       0:17.008	 -0.325	 -0.280
       0:17.011	 -0.325	 -0.285
       0:17.014	 -0.315	 -0.280
       0:17.017	 -0.300	 -0.270
       0:17.019	 -0.295	 -0.250
       0:17.022	 -0.310	 -0.270
       0:17.025	 -0.315	 -0.265
       0:17.028	 -0.320	 -0.280
       0:17.031	 -0.315	 -0.275
       0:17.033	 -0.310	 -0.265
       0:17.036	 -0.295	 -0.270
       0:17.039	 -0.285	 -0.280
       0:17.042	 -0.270	 -0.280
       0:17.044	 -0.250	 -0.280
       0:17.047	 -0.245	 -0.255
       0:17.050	 -0.230	 -0.260
       0:17.053	 -0.220	 -0.250
       0:17.056	 -0.225	 -0.255
       0:17.058	 -0.235	 -0.260
       0:17.061	 -0.230	 -0.255
       0:17.064	 -0.220	 -0.235
       0:17.067	 -0.205	 -0.215
       0:17.069	 -0.190	 -0.225
       0:17.072	 -0.190	 -0.235
       0:17.075	 -0.190	 -0.235
       0:17.078	 -0.205	 -0.240
       0:17.081	 -0.205	 -0.230
       0:17.083	 -0.205	 -0.210
       0:17.086	 -0.210	 -0.205
       0:17.089	 -0.215	 -0.205
       0:17.092	 -0.225	 -0.200
       0:17.094	 -0.230	 -0.200
       0:17.097	 -0.225	 -0.200
       0:17.100	 -0.220	 -0.190
       0:17.103	 -0.220	 -0.190
       0:17.106	 -0.240	 -0.205
       0:17.108	 -0.240	 -0.210
       0:17.111	 -0.230	 -0.205
       0:17.114	 -0.205	 -0.205
       0:17.117	 -0.195	 -0.200
       0:17.119	 -0.195	 -0.210
       0:17.122	 -0.220	 -0.225
       0:17.125	 -0.245	 -0.235
       0:17.128	 -0.275	 -0.235
       0:17.131	 -0.260	 -0.230
       0:17.133	 -0.275	 -0.215
       0:17.136	 -0.285	 -0.225
       0:17.139	 -0.300	 -0.235
       0:17.142	 -0.300	 -0.235
       0:17.144	 -0.310	 -0.245
       0:17.147	 -0.310	 -0.240
       0:17.150	 -0.320	 -0.230
       0:17.153	 -0.320	 -0.240
       0:17.156	 -0.325	 -0.245
       0:17.158	 -0.335	 -0.255
       0:17.161	 -0.345	 -0.260
       0:17.164	 -0.335	 -0.255
       0:17.167	 -0.335	 -0.230
       0:17.169	 -0.330	 -0.245
       0:17.172	 -0.335	 -0.255
       0:17.175	 -0.345	 -0.255
       0:17.178	 -0.360	 -0.255
       0:17.181	 -0.345	 -0.245
       0:17.183	 -0.335	 -0.235
       0:17.186	 -0.345	 -0.245
       0:17.189	 -0.345	 -0.250
       0:17.192	 -0.355	 -0.260
       0:17.194	 -0.360	 -0.260
       0:17.197	 -0.355	 -0.250
       0:17.200	 -0.340	 -0.240
       0:17.203	 -0.340	 -0.250
       0:17.206	 -0.350	 -0.265
       0:17.208	 -0.350	 -0.275
       0:17.211	 -0.355	 -0.275
       0:17.214	 -0.355	 -0.295
       0:17.217	 -0.355	 -0.310
       0:17.219	 -0.370	 -0.340
       0:17.222	 -0.425	 -0.375
       0:17.225	 -0.465	 -0.410
       0:17.228	 -0.480	 -0.420
       0:17.231	 -0.500	 -0.365
       0:17.233	 -0.530	 -0.235
       0:17.236	 -0.535	 -0.115
       0:17.239	 -0.485	  0.015
       0:17.242	 -0.395	  0.115
       0:17.244	 -0.255	  0.235
       0:17.247	 -0.095	  0.370
       0:17.250	  0.095	  0.500
       0:17.253	  0.350	  0.615
       0:17.256	  0.630	  0.705
       0:17.258	  0.845	  0.710
       0:17.261	  0.955	  0.510
       0:17.264	  0.975	  0.160
       0:17.267	  0.825	 -0.125
       0:17.269	  0.480	 -0.285
       0:17.272	  0.055	 -0.295
       0:17.275	 -0.270	 -0.295
       0:17.278	 -0.455	 -0.305
       0:17.281	 -0.485	 -0.290
       0:17.283	 -0.440	 -0.280
       0:17.286	 -0.405	 -0.275
       0:17.289	 -0.375	 -0.270
       0:17.292	 -0.375	 -0.290
       0:17.294	 -0.390	 -0.290
       0:17.297	 -0.380	 -0.290
       0:17.300	 -0.360	 -0.280
       0:17.303	 -0.355	 -0.285
       0:17.306	 -0.345	 -0.295
       0:17.308	 -0.365	 -0.295
       0:17.311	 -0.375	 -0.305
       0:17.314	 -0.370	 -0.300
       0:17.317	 -0.370	 -0.300
       0:17.319	 -0.355	 -0.290
       0:17.322	 -0.370	 -0.295
       0:17.325	 -0.375	 -0.305
       0:17.328	 -0.380	 -0.310
       0:17.331	 -0.385	 -0.300
       0:17.333	 -0.380	 -0.290
       0:17.336	 -0.380	 -0.290
       0:17.339	 -0.380	 -0.295
       0:17.342	 -0.385	 -0.310
       0:17.344	 -0.395	 -0.300
       0:17.347	 -0.395	 -0.295
       0:17.350	 -0.390	 -0.280
       0:17.353	 -0.385	 -0.285
       0:17.356	 -0.380	 -0.295
       0:17.358	 -0.380	 -0.305
       0:17.361	 -0.395	 -0.310
       0:17.364	 -0.390	 -0.290
       0:17.367	 -0.380	 -0.285
       0:17.369	 -0.370	 -0.290
       0:17.372	 -0.375	 -0.290
       0:17.375	 -0.385	 -0.295
       0:17.378	 -0.380	 -0.300
       0:17.381	 -0.375	 -0.290
       0:17.383	 -0.365	 -0.280
       0:17.386	 -0.360	 -0.285
       0:17.389	 -0.365	 -0.290
       0:17.392	 -0.365	 -0.300
       0:17.394	 -0.385	 -0.305
       0:17.397	 -0.370	 -0.295
       0:17.400	 -0.365	 -0.280
       0:17.403	 -0.355	 -0.300
       0:17.406	 -0.385	 -0.295
       0:17.408	 -0.395	 -0.305
       0:17.411	 -0.395	 -0.305
       0:17.414	 -0.385	 -0.290
       0:17.417	 -0.370	 -0.275
       0:17.419	 -0.380	 -0.290
       0:17.422	 -0.370	 -0.300
       0:17.425	 -0.375	 -0.305
       0:17.428	 -0.390	 -0.310
       0:17.431	 -0.385	 -0.295
       0:17.433	 -0.380	 -0.295
       0:17.436	 -0.370	 -0.300
       0:17.439	 -0.370	 -0.305
       0:17.442	 -0.385	 -0.315
       0:17.444	 -0.385	 -0.315
       0:17.447	 -0.380	 -0.320
       0:17.450	 -0.385	 -0.315
       0:17.453	 -0.370	 -0.330
       0:17.456	 -0.375	 -0.320
       0:17.458	 -0.375	 -0.335
       0:17.461	 -0.380	 -0.340
       0:17.464	 -0.380	 -0.330
       0:17.467	 -0.355	 -0.310
       0:17.469	 -0.360	 -0.325
       0:17.472	 -0.365	 -0.330
       0:17.475	 -0.370	 -0.345
       0:17.478	 -0.380	 -0.350
       0:17.481	 -0.370	 -0.355
       0:17.483	 -0.375	 -0.345
       0:17.486	 -0.360	 -0.355
       0:17.489	 -0.370	 -0.360
       0:17.492	 -0.380	 -0.375
       0:17.494	 -0.385	 -0.390
       0:17.497	 -0.375	 -0.370
       0:17.500	 -0.375	 -0.380
       0:17.503	 -0.370	 -0.390
       0:17.506	 -0.370	 -0.400
       0:17.508	 -0.385	 -0.410
       0:17.511	 -0.400	 -0.410
       0:17.514	 -0.395	 -0.405
       0:17.517	 -0.385	 -0.405
       0:17.519	 -0.395	 -0.430
       0:17.522	 -0.380	 -0.440
       0:17.525	 -0.400	 -0.445
       0:17.528	 -0.400	 -0.465
       0:17.531	 -0.400	 -0.455
       0:17.533	 -0.390	 -0.445
       0:17.536	 -0.390	 -0.455
       0:17.539	 -0.385	 -0.455
       0:17.542	 -0.400	 -0.465
       0:17.544	 -0.400	 -0.470
       0:17.547	 -0.385	 -0.460
       0:17.550	 -0.380	 -0.450
       0:17.553	 -0.380	 -0.440
       0:17.556	 -0.385	 -0.445
       0:17.558	 -0.385	 -0.440
       0:17.561	 -0.405	 -0.430
       0:17.564	 -0.395	 -0.405
       0:17.567	 -0.380	 -0.395
       0:17.569	 -0.370	 -0.385
       0:17.572	 -0.370	 -0.370
       0:17.575	 -0.380	 -0.375
       0:17.578	 -0.365	 -0.355
       0:17.581	 -0.355	 -0.335
       0:17.583	 -0.335	 -0.305
       0:17.586	 -0.325	 -0.300
       0:17.589	 -0.320	 -0.305
       0:17.592	 -0.320	 -0.305
       0:17.594	 -0.330	 -0.290
       0:17.597	 -0.315	 -0.280
       0:17.600	 -0.300	 -0.270
       0:17.603	 -0.295	 -0.265
       0:17.606	 -0.285	 -0.265
       0:17.608	 -0.295	 -0.260
       0:17.611	 -0.290	 -0.265
       0:17.614	 -0.285	 -0.250
       0:17.617	 -0.270	 -0.245
       0:17.619	 -0.260	 -0.235
       0:17.622	 -0.265	 -0.240
       0:17.625	 -0.275	 -0.270
       0:17.628	 -0.280	 -0.260
       0:17.631	 -0.275	 -0.245
       0:17.633	 -0.270	 -0.245
       0:17.636	 -0.270	 -0.240
       0:17.639	 -0.260	 -0.250
       0:17.642	 -0.270	 -0.255
       0:17.644	 -0.280	 -0.260
       0:17.647	 -0.285	 -0.250
